Date_ymd,Recorder,Richness_ID,Density_ID,Rep,Biomass_Type,Species_ID,Individual_ID,Biomass_g,Bag_type,Comments,
2023-07-21,JD,M4,D2,1,BM,CIAR,C07,0.0039,E,Individual 7 (JD),
2023-07-21,JD,M4,D2,1,AB,CIAR,C01,0.0947,E,Individual 1 (JD),
2023-07-17,RC,M1,D2,R2,BM,RUHI,-,6.0434,S,,
2023-07-20,JD,M2,D2,1,BM,CIAR,C04,0.0377,E,,
2023-07-21,JD,M2,D3,1,BM,CIAR,-,0.0864,E,Unsorted root biomass (JD),
2023-07-20,JD,M1,D2,A2,AB,ANGE,-,4.1525,S,,
2023-07-21,JD,M2,D3,1,AB,CIAR,C01,0.054,E,Individual 1 (JD),
2023-07-20,RC,M1,D3,R1,BM,RUHI,-,6.0323,S,,
2023-07-21,JD,M4,D2,1,AB,CIAR,C03,0.044,E,Individual 3 (JD),
2023-07-21,JD,M4,D2,1,BM,CIAR,C03,0.007,E,Individual 3 (JD),
2023-07-22,JD,M4,D3,1,AB,CIAR,C03,0.0636,E,Individual 3 (JD),
2023-07-17,RC,M4,D1,1,AB,CIAR,C03,0.932,S,,
2023-07-19,RC,M1,D3,A2,BM,ANGE,-,15.3017,S,,
2023-07-20,JD,M1,D2,A2,BM,ANGE,-,8.7073,S,,
2023-07-20,JD,M1,D2,A3,BM,ANGE,-,8.2332,S,,
2023-07-21,JD,M4,D2,1,AB,CIAR,C04,0.0047,E,Individual 4 (JD),
2023-07-20,JD,M2,D2,1,BM,CIAR,C02,0.0563,E,,
2023-07-21,JD,M4,D2,1,BM,ANGE,-,2.9306,S,,
2023-07-21,JD,M4,D2,1,AB,RUHI,-,2.4822,S,,
2023-07-22,JD,M4,D3,1,BM,CIAR,C02,0.0473,E,Individual 2 (JD),
2023-07-22,JD,M4,D3,1,AB,CIAR,C02,0.1324,E,Individual 2 (JD),
2023-07-22,JD,M4,D3,1,AB,CIAR,C01,0.0421,E,Individual 1 (JD),
2023-07-21,JD,M4,D2,1,BM,MOFI,-,0.141,S,,
2023-07-20,JD,M2,D2,1,AB,CIAR,C02,0.0614,E,,
2023-07-20,JD,M2,D2,1,BM,CIAR,C03,0.0303,E,,
2023-07-21,JD,M4,D2,1,AB,MOFI,-,0.1587,S,,
2023-07-20,JD,M2,D2,1,AB,CIAR,C01,0.0363,E,,
2023-07-20,JD,M2,D2,1,BM,HEHE,-,0.0511,E,,
2023-07-20,JD,M2,D2,1,AB,CIAR,C04,0.1006,E,,
2023-07-20,JD,M2,D2,1,AB,CIAR,C03,0.0881,E,,
2023-07-22,JD,M4,D3,1,BM,CIAR,C08,0.078,E,Individual 8 (JD),
2023-07-21,JD,M4,D2,1,BM,HEHE,-,0.0526,S,,
2023-07-21,JD,M4,D2,1,AB,HEHE,-,0.1284,S,,
2023-07-21,JD,M4,D2,1,BM,RUHI,-,2.9103,S,,
2023-07-21,JD,M2,D3,1,AB,CIAR,C03,0.0088,E,Individual 3 (JD),
2023-07-22,JD,M4,D2,2,AB,OEBI,-,9.3517,S,,
2023-07-21,JD,M2,D3,1,AB,CIAR,C02,0.0356,E,Individual 2 (JD),
2023-07-20,JD,M1,D3,R4,BM,CIAR,C01,0.0015,E,Individual 1 (JD),
2023-07-20,JD,M1,D3,R4,AB,CIAR,C01,0.0095,E,Individual 1 (JD),
2023-07-20,JD,M1,D3,R4,AB,CIAR,C04,0.0071,E,Individual 4 (JD),
2023-07-22,JD,M4,D3,1,BM,CIAR,-,0.2716,E,Unsorted root biomass (JD),
2023-07-21,JD,M2,D3,1,BM,CIAR,C02,0.0098,E,Individual 2 (JD),
2023-07-22,JD,M4,D2,2,BM,OEBI,-,3.4224,S,,
2023-07-21,JD,M1,D1,4,BM,CIAR,C06,0.0156,E,Individual 6 (JD),
2023-07-21,JD,M1,D1,4,BM,CIAR,C08,0.0037,E,Individual 8 (JD),
2023-07-21,JD,M2,D3,1,BM,CIAR,C01,0.0314,E,Individual 1 (JD),
2022-07-22,GX,M4,D3,1,AB,MOFI,-,1.4091,S,,
2023-07-21,JD,M2,D3,1,BM,ANGE,-,1.8845,S,,
2023-07-20,JD,M1,D3,R4,BM,CIAR,C02,0.0004,E,Individual 2 (JD),
2023-07-22,JD,M4,D3,1,BM,MOFI,-,1.2645,S,,
2023-07-22,JD,M4,D3,1,AB,RUHI,-,1.9753,S,,
2023-07-22,JD,M4,D2,2,AB,MOFI,-,0.1669,E,,
2023-07-21,RC,M2,D3,1,BM,RUHI,-,3.869,S,,
2023-07-21,RC,M2,D3,1,AB,RUHI,-,4.5067,S,,
2023-07-20,JD,M2,D3,2,BM,HEHE,-,0.1661,S,,
2023-07-22,JD,M4,D3,1,BM,CIAR,C05,0.0022,E,Individual 5 (JD),
2023-07-21,JD,M1,D1,4,BM,CIAR,C05,0.0371,E,Individual 5 (JD),
2023-07-20,JD,M2,D3,2,BM,MOFI,-,5.0759,S,,
2023-07-20,JD,M1,D3,R4,AB,CIAR,C02,0.0169,E,Individual 2 (JD),
2023-07-20,JD,M1,D3,R4,BM,CIAR,C04,0.0073,E,Individual 4 (JD),
2023-07-20,JD,M1,D3,R4,BM,CIAR,C03,0.0015,E,Individual 3 (JD),
2023-07-20,JD,M2,D3,2,BM,CIAR,C03,0.0038,E,Individual 3 (JD),
2023-07-21,JD,M1,D1,4,BM,CIAR,C06,0.078,E,Individual 6 (JD),
2023-07-20,JD,M2,D3,2,BM,CIAR,-,0.7019,E,Unsorted root biomass (JD),
2023-07-20,JD,M1,D3,R4,AB,CIAR,C05,0.0061,E,Individual 5 (JD),
2023-07-20,JD,M1,D3,R4,AB,CIAR,C03,0.0071,E,Individual 3 (JD),
2023-07-20,JD,M1,D2,A1,AB,CIAR,C01,0.0747,E,,
2023-07-20,JD,M2,D3,2,BM,CIAR,C01,0.1043,E,Individual 1 (JD),
2023-07-21,JD,M2,D2,2,BM,OEBI,-,2.524,S,,
2023-07-22,JD,M4,D3,1,BM,RUHI,-,1.4525,S,,
2023-07-21,JD,M2,D2,2,BM,MOFI,-,0.5307,S,,
2023-07-20,JD,M2,D3,2,AB,CIAR,C01,0.3578,E,Individual 1 (JD),
2023-07-28,JD,M4,D2,2,BM,HEHE,-,0.0000,-,,
2023-07-28,JD,M4,D2,2,AB,HEHE,-,0.0098,E,,
2023-07-30,JD,M4,D2,2,AB,ANGE,-,0.2258,E,,
2023-07-22,JD,M4,D2,2,BM,MOFI,-,0.1013,E,,
2023-07-22,JD,M4,D2,2,AB,CIAR,C03,0.0061,E,Individual 3 (JD),
2023-07-22,JD,M4,D2,2,BM,CIAR,C02,0.0002,E,Individual 2 (JD),
2023-07-22,JD,M4,D2,2,AB,CIAR,C02,0.0052,E,Individual 2 (JD),
2023-07-21,JD,M2,D2,2,AB,MOFI,-,0.899,S,,
2023-07-21,JD,M2,D2,2,BM,-,-,2.0854,S,"Unsorted root biomass, unable to tell the species (JD)",
2023-07-21,RC,M2,D2,2,AB,OEBI,-,3.8636,S,"Originally labelled as ""OBEI"" but relabeled as ""OEBI"" by GX",
2023-07-21,JD,M2,D2,2,AB,CIAR,C04,0.0033,E,,
2023-07-21,JD,M2,D2,2,AB,CIAR,C03,0.0099,E,,
2023-07-22,JD,M4,D2,2,BM,CIAR,C01,0.015,E,Individual 1 (JD),
2023-07-21,JD,M2,D2,2,BM,CIAR,C02,0.0127,E,,
2023-07-21,JD,M2,D2,2,AB,CIAR,C02,0.0156,E,,
2023-07-21,JD,M2,D2,2,AB,CIAR,C01,0.0198,E,,
2023-07-22,JD,M4,D2,2,AB,CIAR,C01,0.0584,E,Individual 1 (JD),
2023-07-22,JD,M4,D2,2,BM,ANGE,-,0.1889,E,,
2023-07-22,JD,M4,D2,2,BM,CIAR,C03,0.0012,E,Individual 3 (JD),
2023-07-22,GX,M4,D2,3,AB,OEBI,-,10.4031,S,,
2023-07-22,JD,M4,D2,3,AB,RUHI,-,1.0021,S,,
2023-07-29,JD,M4,D2,3,AB,CIAR,C01,0.0153,E,Individual 1 (JD),
2023-07-22,JD,M4,D2,3,BM,ANGE,-,0.0959,E,,
2023-07-22,JD,M4,D2,3,AB,MOFI,-,0.7903,E,,
2023-07-22,JD,M4,D2,3,AB,CIAR,C04,0.004,E,Individual 4 (JD),
2023-07-22,JD,M4,D2,3,BM,CIAR,C04,0.0031,E,Individual 4 (JD),
2023-07-21,JD,M4,D3,2,BM,ANGE,-,0.5191,E,,
2023-07-21,JD,M2,D2,2,BM,CIAR,C01,0.011,E,,
2023-07-21,JD,M4,D3,2,AB,ANGE,-,0.5194,E,,
2023-07-21,JD,M4,D3,2,BM,HEHE,-,0.0948,E,,
2023-07-21,JD,M4,D3,2,BM,CIAR,-,0.1564,E,Unsorted root biomass (JD),
2023-07-21,JD,M4,D3,2,AB,CIAR,C02,0.0318,E,Individual 2 (JD),
2023-07-21,JD,M4,D3,2,BM,CIAR,C01,0.0781,E,Individual 1 (JD),
2023-07-21,JD,M4,D3,2,AB,CIAR,C01,0.2089,E,Individual 1 (JD),
2023-07-21,JD,M4,D3,2,AB,HEHE,-,0.1375,E,,
2023-07-21,JD,M4,D3,2,BM,CIAR,C03,0.0314,E,Individual 3 (JD),
2023-07-21,JD,M4,D3,2,BM,MOFI,-,0.3446,S,,
2023-07-21,JD,M4,D3,2,AB,MOFI,-,0.218,E,,
2023-07-21,JD,M4,D3,2,BM,OEBI,-,1.7463,S,,
2023-07-21,JD,M4,D3,2,AB,CIAR,C03,0.0605,E,,
2023-07-21,JD,M4,D3,2,AB,OEBI,-,2.6696,S,,
2023-07-23,JD,M4,D3,3,BM,ANGE,-,1.3938,S,,
2023-07-23,JD,M4,D3,3,AB,MOFI,-,0.1983,E,,
2023-07-23,JD,M4,D3,3,AB,CIAR,C01,0.099,E,Individual 1 (JD),
2023-07-23,JD,M4,D3,3,AB,ANGE,-,0.8957,E,,
2023-07-23,JD,M4,D3,3,BM,MOFI,-,0.1244,E,,
2023-07-22,JD,M4,D2,3,BM,MOFI,-,0.719,E,,
2023-07-23,JD,M4,D3,3,BM,CIAR,C01,0.0311,E,Individual 1 (JD),
2023-07-20,JD,M1,D2,A1,BM,CIAR,C04,0.0572,E,,
2023-07-20,JD,M1,D3,R3,BM,CIAR,C01,0.1543,E,Individual 1 (JD),
2023-07-20,JD,M1,D3,R3,BM,CIAR,C02,0.0027,E,Individual 2 (JD),
2023-07-20,JD,M2,D3,2,AB,CIAR,C02,0.2769,E,Individual 2 (JD),
2023-07-20,JD,M1,D3,R3,AB,CIAR,C01,0.3009,E,Individual 1 (JD),
2023-07-21,JD,M1,D1,4,BM,CIAR,C01,0.0017,E,Individual 1 (JD),
2023-07-20,JD,M1,D2,A1,AB,CIAR,C05,0.1991,E,,
2023-07-20,JD,M1,D2,A1,BM,CIAR,C05,0.0974,E,,
2023-07-21,JD,M1,D1,4,BM,CIAR,C02,0.0049,E,Individual 2 (JD),
2023-07-21,JD,M1,D1,4,BM,CIAR,C03,0.0134,E,Individual 3 (JD),
2023-07-21,JD,M1,D1,4,BM,CIAR,C04,0.5693,E,Individual 4 (JD),
2023-07-20,JD,M1,D2,A1,BM,CIAR,C02,0.109,E,,
2023-07-20,JD,M1,D2,A1,BM,CIAR,C02,0.2965,E,,
2023-07-20,JD,M1,D3,R3,AB,CIAR,C02,0.0042,E,Individual 2 (JD),
2023-07-20,JD,M1,D3,R1,AB,CIAR,C03,0.0049,E,Individual 3 (JD),
2023-07-20,JD,M2,D3,2,AB,CIAR,C03,0.0102,E,Individual 3 (JD),
2023-07-20,JD,M2,D3,2,AB,MOFI,-,3.5678,S,,
2023-07-20,JD,M1,D2,A1,AB,CIAR,C03,0.3178,E,,
2023-07-20,JD,M1,D2,A1,BM,CIAR,C03,0.0485,E,,
2023-07-20,JD,M2,D3,2,AB,HEHE,-,0.3621,S,,
2023-07-20,JD,M2,D3,4,AB,HEHE,-,0.1412,S,,
2023-07-20,JD,M2,D3,4,BM,OEBI,-,2.9164,S,,
2023-07-20,JD,M2,D3,4,AB,CIAR,C02,0.0051,E,Individual 2 (JD),
2023-07-22,JD,M4,D2,3,AB,ANGE,-,0.2051,E,,
2023-07-22,JD,M4,D2,3,BM,RUHI,-,0.1217,E,,
2023-07-20,JD,M2,D3,4,BM,CIAR,C02,0.0033,E,Individual 2 (JD),
2023-07-21,JD,M1,D1,4,AB,CIAR,C07,0.0213,E,Individual 7 (JD),
2023-07-20,JD,M2,D3,4,BM,CIAR,C01,0.0135,E,Individual 1 (JD),
2023-07-21,JD,M1,D1,4,AB,CIAR,C08,0.006,E,Individual 8 (JD),
2023-07-20,JD,M1,D2,A1,AB,CIAR,C04,0.0519,E,,
2023-07-20,JD,M1,D3,R1,BM,CIAR,C04,0.0019,E,Individual 4 (JD),
2023-07-20,JD,M2,D3,4,AB,CIAR,C01,0.0864,E,Individual 1 (JD),
2023-07-20,JD,M1,D2,A2,AB,CIAR,C01,0.9292,S,Individual 1 (JD),
2023-07-20,JD,M2,D3,4,AB,CIAR,C03,0.0051,E,Individual 3 (JD),
2023-07-20,JD,M1,D3,R1,AB,CIAR,C04,0.0024,E,Individual 4 (JD),
2023-07-20,JD,M1,D3,R1,BM,CIAR,C03,0.0021,E,Individual 3 (JD),
2023-07-20,JD,M1,D3,R3,BM,CIAR,C05,0.0028,E,Individual 5 (JD),
2023-07-20,JD,M2,D3,4,BM,CIAR,C03,0.0026,E,Individual 3 (JD),
2023-07-20,RC,M1,D2,A2,AB,CIAR,C03,1.1755,S,,
2023-07-20,JD,M2,D3,4,AB,OEBI,-,5.3919,S,,
2023-07-20,JD,M2,D3,4,BM,HEHE,-,0.141,S,,
2023-07-20,JD,M1,D2,A2,BM,CIAR,-,1.7731,E,Unsorted roots (JD),
2023-07-22,JD,M4,D2,3,AB,CIAR,C03,0.007,E,Individual 3 (JD),
2023-07-21,JD,M1,D1,4,AB,CIAR,C02,0.0147,E,Individual 2 (JD),
2023-07-21,JD,M1,D1,4,AB,CIAR,C03,0.0146,E,Individual 3 (JD),
2023-07-22,JD,M4,D2,3,BM,CIAR,C03,0.0014,E,Individual 3 (JD),
2023-07-22,JD,M4,D2,3,AB,CIAR,C02,0.0106,E,Individual 2 (JD),
2023-07-22,JD,M4,D2,3,BM,CIAR,C01,0.0028,E,Individual 1 (JD),
2023-07-23,JD,M4,D2,3,BM,-,-,1.2601,S,"Unsorted root biomass, unable to tell the species (JD)",
2023-07-22,JD,M4,D2,3,BM,OEBI,-,1.9817,S,,
2023-07-23,JD,M4,D2,3,BM,RUHI,-,0.7002,S,,
2023-07-21,JD,M1,D1,4,AB,CIAR,C05,0.1275,E,Individual 5 (JD),
2023-07-21,GX,M4,D3,4,BM,ANGE,-,0.4237,S,,
2023-07-21,JD,M1,D1,4,AB,CIAR,C06,0.3892,E,Individual 6 (JD),
2023-07-21,JD,M4,D3,4,AB,ANGE,-,0.4606,S,,
2023-07-20,JD,M1,D3,R1,AB,CIAR,C02,0.0708,E,Individual 2 (JD),
2023-07-21,JD,M4,D3,4,AB,HEHE,-,0.1196,S,,
2023-07-21,JD,M2,D2,2,BM,CIAR,C03,0.0052,E,,
2023-07-21,JD,M2,D2,2,AB,CIAR,C05,0.0249,E,,
2023-07-21,JD,M2,D2,2,BM,CIAR,C04,0.0239,E,,
2023-07-21,JD,M2,D2,2,BM,CIAR,C05,0.226,E,,
2023-07-20,JD,M1,D3,R1,BM,CIAR,C01,0.0022,E,Individual 1 (JD),
2023-07-20,JD,M1,D3,R1,AB,CIAR,C01,0.0041,E,Individual 1 (JD),
2023-07-21,JD,M2,D2,3,AB,OEBI,-,7.0924,S,,
2023-07-21,JD,M2,D2,3,BM,OEBI,-,3.6398,S,,
2023-07-22,JD,M2,D2,3,BM,OEBI,-,1.5045,S,,
2023-07-20,JD,M1,D3,R3,AB,CIAR,C05,0.003,E,Individual 5 (JD),
2023-07-22,JD,M4,D2,3,BM,-,-,1.659,S,"Unsorted root biomass, unable to tell the species (JD)",
2023-07-23,JD,M4,D2,3,AB,RUHI,-,1.3408,S,,
2023-07-21,JD,M1,D1,4,AB,CIAR,C01,0.0038,E,Individual 1 (JD),
2023-07-22,JD,M2,D2,3,BM,CIAR,-,0.1116,E,Unsorted root biomass (JD),
2023-07-23,JD,M4,D2,3,BM,CIAR,C03,0.0063,E,Individual 3 (JD),
2023-07-18,GX,M1,D3,R2,BM,RUHI,-,5.6438,S,,
2023-07-23,JD,M4,D2,3,AB,CIAR,C04,0.0102,E,Individual 4 (JD),
2023-07-23,JD,M2,D2,3,AB,CIAR,C04,0.0047,E,Individual 4 (JD),
2023-07-18,GX,M1,D3,R2,AB,RUHI,-,4.8488,S,,
2023-07-21,JD,M4,D3,4,BM,HEHE,-,0.1086,S,,
2023-07-21,JD,M2,D3,5,AB,RUHI,-,2.1122,S,,
2023-07-23,JD,M4,D2,3,AB,CIAR,C05,0.0082,E,Individual 5 (JD),
2023-07-17,GX,M4,D1,1,BM,MOFI,-,0.8571,E,,
2023-07-23,JD,M1,-,C1,AB,CIAR,-,1.6789,S,,
2023-07-23,JD,M4,D2,3,AB,CIAR,C06,0.0086,E,Individual 6 (JD),
2023-07-18,RC,M1,D3,M2,BM,MOFI,-,6.0922,S,,
2023-07-21,JD,M4,D3,4,BM,OEBI,-,3.7113,S,,
2023-07-23,JD,M4,D2,3,BM,CIAR,C07,0.0067,E,Individual 7 (JD),
2023-07-24,JD,M2,D2,3,BM,CIAR,C06,0.0032,E,Individual 6 (JD),
2023-07-25,JD,M2,D2,3,BM,CIAR,C07,0.0026,E,Individual 7 (JD),
2023-07-19,JD,M1,D3,A1,AB,CIAR,C04,0.6465,S,Individual 4 (JD),
2023-07-21,JD,M2,D3,5,AB,CIAR,C02,0.0763,E,Individual 2 (JD),
2023-07-21,JD,M4,D3,4,AB,OEBI,-,5.9254,S,,
2023-07-23,JD,M1,D3,H2,BM,CIAR,-,3.4285,S,,
2023-07-26,JD,M2,D2,3,AB,CIAR,C07,0.0029,E,Individual 7 (JD),
2023-07-23,JD,M4,D2,3,AB,CIAR,C08,0.0066,E,Individual 8 (JD),
2023-07-20,JD,M1,D2,A2,BM,CIAR,C03,0.1004,E,,
2023-07-21,JD,M4,D3,4,BM,CIAR,C02,0.0012,E,Individual 2 (JD),
2023-07-21,JD,M2,D1,4,BM,MOFI,-,2.3479,S,"Possible typo where ""M1"" by JD is relabelled as ""M2"" by GX",
2023-07-23,JD,M4,D2,3,BM,CIAR,C08,0.0055,E,Individual 8 (JD),
2023-07-23,JD,M4,D2,3,AB,CIAR,C03,0.0079,E,Individual 3 (JD),
2023-07-19,GX,M1,D3,M3,AB,MOFI,-,3.0569,S,,
2023-07-21,JD,M2,D1,4,AB,MOFI,-,1.7636,S,"Possible typo where ""M1"" by JD is relabelled as ""M2"" by GX",
2023-07-21,JD,M2,D3,5,BM,CIAR,C03,0.0017,E,Individual 3 (JD),
2023-07-23,JD,M4,D2,3,BM,CIAR,C02,0.0059,E,Individual 2 (JD),
2023-07-23,JD,M4,D2,3,AB,CIAR,C02,0.0084,E,Individual 2 (JD),
2023-07-17,GX,M4,D1,1,AB,CIAR,C01,0.2919,E,,
2023-07-22,JD,M2,D2,3,AB,CIAR,C01,0.0609,E,Individual 1 (JD),
2023-07-22,JD,M2,D2,3,BM,CIAR,C01,0.0189,E,Individual 1 (JD),
2023-07-21,JD,M2,D3,5,BM,CIAR,C01,0.0025,E,Individual 1 (JD),
2023-07-23,JD,M4,D2,3,AB,CIAR,C07,0.011,E,Individual 7 (JD),
2023-07-21,JD,M2,D3,5,AB,CIAR,C01,0.0052,E,Individual 1 (JD),
2023-07-23,JD,M4,D2,3,BM,CIAR,C06,0.0073,E,Individual 6 (JD),
2023-07-22,JD,M2,D2,3,AB,CIAR,C02,0.1103,E,Individual 2 (JD),
2023-07-21,JD,M4,D3,4,BM,CIAR,C04,0.0029,E,Individual 4 (JD),
2023-07-22,JD,M2,D2,3,BM,CIAR,C02,0.0295,E,Individual 2 (JD),
2023-07-23,JD,M4,D2,3,BM,CIAR,-,0.18,E,Unsorted root biomass (JD),
2023-07-10,RC,M1,D1,O1,AB,OEBI,-,6.7902,S,,
2023-07-21,JD,M4,D2,4,BM,RUHI,-,0.8764,S,,
2023-07-21,JD,M2,D3,5,AB,CIAR,C03,0.0039,E,Individual 3 (JD),
2023-07-20,GX,M1,D3,R3,BM,RUHI,-,4.5576,S,,
2023-07-21,JD,M4,D2,4,AB,RUHI,-,0.7667,S,,
2023-07-21,JD,M4,D3,4,BM,CIAR,C05,0.0002,E,Individual 5 (JD),
2023-07-22,JD,M2,D2,3,AB,CIAR,C03,0.0301,E,Individual 3 (JD),
2023-07-20,JD,M1,D2,A2,AB,CIAR,C02,0.4677,E,,
2023-07-21,JD,M2,D3,5,BM,CIAR,C02,0.0192,E,Individual 2 (JD),
2023-07-21,JD,M2,D3,5,BM,MOFI,-,1.1114,S,,
2023-07-20,JD,M1,D3,R3,AB,RUHI,-,4.7582,S,,
2023-07-21,JD,M4,D3,4,BM,CIAR,C01,0.0002,E,Individual 1 (JD),
2023-07-22,JD,M2,D2,3,BM,CIAR,C03,0.0055,E,Individual 3 (JD),
2023-07-21,JD,M4,D2,4,AB,ANGE,-,1.2193,S,,
2023-07-21,JD,M4,D3,4,AB,CIAR,C01,0.0036,E,Individual 1 (JD),
2023-07-21,JD,M4,D2,4,BM,ANGE,-,2.3573,S,,
2023-07-21,JD,M4,D3,4,AB,CIAR,C05,0.0058,E,Individual 5 (JD),
2023-07-12,RC,M2,D1,1,AB,CIAR,C05,0.3728,S,,
2023-07-20,JD,M1,D2,A2,BM,CIAR,C04,0.0178,E,,
2023-07-20,JD,M1,D2,A2,BM,CIAR,C01,0.0939,E,,
2023-07-20,JD,M1,D2,A2,AB,CIAR,C04,0.0286,E,,
2023-07-20,JD,M1,D2,A3,AB,CIAR,C01,0.2029,E,,
2023-07-20,JD,M1,D2,A3,BM,CIAR,C01,0.0665,E,,
2023-07-20,JD,M1,D2,A3,BM,CIAR,C03,0.1136,E,,
2023-07-20,JD,M1,D2,A3,BM,CIAR,C07,0.0989,E,,
2023-07-20,JD,M1,D2,A3,BM,CIAR,C02,0.0705,E,,
2023-07-20,JD,M1,D2,A3,AB,CIAR,C07,0.197,E,,
2023-07-20,JD,M1,D2,A3,BM,CIAR,-,1.1297,E,Unsorted roots (JD),
2023-07-20,JD,M1,D2,A3,AB,CIAR,C05,0.0923,E,,
2023-07-20,JD,M1,D2,A3,BM,CIAR,C04,0.1055,E,,
2023-07-20,JD,M1,D2,A3,AB,CIAR,C03,0.4049,E,,
2023-07-20,JD,M1,D2,A3,AB,CIAR,C04,0.3613,E,,
2023-07-20,JD,M1,D2,A3,AB,CIAR,C02,0.171,E,,
2023-07-20,JD,M1,D2,A3,BM,CIAR,C05,0.0325,E,,
2023-07-20,JD,M1,D2,A4,BM,CIAR,C10,0.0479,E,,
2023-07-20,JD,M1,D2,A4,AB,CIAR,C10,0.0715,E,,
2023-07-20,JD,M1,D2,A4,BM,CIAR,-,0.2849,E,Unsorted roots (JD),
