date,recorder_id,Richness_ID,Density_ID,Rep,species,ind,leaf_rep,biomass_mg,comments
2023-06-29,JD,M1,D2,M4,MOFI,4,2,15,
2023-06-29,JD,M1,D1,M1,MOFI,5,5,66,
2023-06-29,JD,M1,D1,M5,MOFI,3,5,35,
2023-06-29,JD,M1,D1,R5,RUHI,3,2,44,
2023-06-29,JD,M1,D1,M4,MOFI,2,5,31,
2023-06-29,JD,M1,D3,M5,MOFI,3,3,25,
2023-06-29,JD,M1,D1,M4,MOFI,2,3,9,
2023-06-29,JD,M1,D3,M2,MOFI,1,4,18,
2023-06-29,JD,M1,D3,M2,MOFI,1,5,20,
2023-06-29,JD,M1,D1,M2,MOFI,1,2,58,
2023-06-29,JD,M1,D3,M4,MOFI,5,4,18,
2023-06-29,JD,M1,D2,R5,RUHI,3,2,59,
2023-06-29,JD,M1,D1,M5,MOFI,3,3,36,
2023-06-29,JD,M1,D1,M4,MOFI,2,1,31,
2023-06-29,JD,M1,D2,M1,MOFI,2,1,19,
2023-06-29,JD,M1,D2,M2,MOFI,5,5,10,
2023-06-29,JD,M1,D3,M5,MOFI,3,2,15,
2023-06-29,JD,M1,D3,M5,MOFI,3,4,13,
2023-06-29,JD,M1,D1,M2,MOFI,1,5,59,
2023-06-29,JD,M1,D1,M2,MOFI,1,3,71,
2023-06-29,JD,M1,D1,M2,MOFI,1,4,72,
2023-06-29,JD,M1,D2,M5,MOFI,1,3,47,
2023-06-29,JD,M1,D2,M5,MOFI,1,4,58,
2023-06-30,JD,M1,D2,A3,ANGE,2,2,29,
2023-06-30,JD,M1,D3,O3,OEBI,4,5,24,
2023-06-30,JD,M1,D1,A3,ANGE,3,5,24,
2023-06-28,JD,M1,D3,H1,HEHE,4,2,17,
2023-06-28,JD,M1,D2,H2,HEHE,3,2,10,
2023-06-30,JD,M1,D3,O5,OEBI,3,2,13,
2023-06-30,JD,M1,D1,A3,ANGE,3,3,32,
2023-06-30,JD,M1,D1,O1,OEBI,1,1,49,
2023-06-30,JD,M1,D1,O4,OEBI,2,4,50,
2023-06-30,JD,M1,D2,O5,OEBI,3,3,24,
2023-06-30,JD,M1,D2,O5,OEBI,3,5,12,
2023-06-30,JD,M1,D2,A3,ANGE,2,3,28,
2023-06-30,JD,M1,D3,O5,OEBI,3,1,9,
2023-06-30,JD,M1,D1,A5,ANGE,5,1,14,
2023-06-30,JD,M1,D1,O2,OEBI,5,3,89,
2023-06-30,JD,M1,D3,A2,ANGE,2,2,7,
2023-06-30,JD,M1,D1,A3,ANGE,3,2,19,
2023-06-30,JD,M1,D2,O5,OEBI,3,2,102,
2023-06-30,JD,M1,D2,O2,OEBI,5,4,26,
2023-06-30,JD,M1,D2,O2,OEBI,5,5,38,
2023-06-30,JD,M1,D1,O4,OEBI,2,1,97,
2023-06-30,JD,M1,D1,A5,ANGE,5,2,23,
2023-06-29,JD,M1,D2,M3,MOFI,3,1,20,
2023-06-29,JD,M1,D1,R4,RUHI,5,1,42,
2023-06-29,JD,M1,D2,M1,MOFI,2,5,23,
2023-06-29,JD,M1,D2,M1,MOFI,2,4,24,
2023-06-29,JD,M1,D2,M2,MOFI,5,3,24,
2023-06-29,JD,M1,D1,M4,MOFI,2,2,37,
2023-06-29,JD,M1,D1,M1,MOFI,5,4,53,
2023-06-29,JD,M1,D3,M4,MOFI,5,2,15,
2023-06-29,JD,M1,D2,M4,MOFI,4,1,16,
2023-06-29,JD,M1,D3,M5,MOFI,3,5,23,
2023-06-29,JD,M1,D1,R4,RUHI,5,2,37,
2023-06-29,JD,M1,D2,M3,MOFI,3,3,21,
2023-06-29,JD,M1,D2,M2,MOFI,5,2,23,
2023-06-29,JD,M1,D3,R4,RUHI,3,1,17,
2023-06-29,JD,M1,D3,M3,MOFI,2,2,10,
2023-06-29,JD,M1,D1,M1,MOFI,5,3,60,
2023-06-29,JD,M1,D3,R4,RUHI,3,2,32,
2023-06-29,JD,M1,D2,M4,MOFI,4,4,15,
2023-06-29,JD,M1,D3,M2,MOFI,1,1,24,
2023-06-29,JD,M1,D2,M5,MOFI,1,2,61,
2023-06-29,JD,M1,D1,M5,MOFI,3,4,35,
2023-06-29,JD,M1,D2,M4,MOFI,4,3,16,
2023-06-29,JD,M1,D3,R5,RUHI,5,1,43,
2023-06-29,JD,M1,D1,R1,RUHI,4,3,35,
2023-06-29,JD,M1,D3,R2,RUHI,2,1,30,
2023-06-29,JD,M1,D1,R5,RUHI,3,3,11,
2023-06-29,JD,M1,D1,R4,RUHI,5,3,15,
2023-06-29,JD,M1,D1,R1,RUHI,4,4,73,
2023-06-29,JD,M1,D2,R4,RUHI,5,5,34,
2023-06-29,JD,M1,D2,M4,MOFI,4,5,21,
2023-06-29,JD,M1,D3,R5,RUHI,5,5,38,
2023-06-29,JD,M1,D2,M3,MOFI,3,2,6,
2023-06-29,JD,M1,D3,R2,RUHI,2,5,18,
2023-06-29,JD,M1,D3,R5,RUHI,5,2,45,
2023-06-29,JD,M1,D3,M2,MOFI,1,3,19,
2023-06-29,JD,M1,D3,R2,RUHI,2,2,32,
2023-06-29,JD,M1,D2,R1,RUHI,1,4,49,
2023-06-29,JD,M1,D3,R5,RUHI,5,3,29,Removed a duplicate entry (26 grams biomass)
2023-06-29,JD,M1,D3,R2,RUHI,2,4,31,
2023-06-29,JD,M1,D2,R1,RUHI,1,5,29,
2023-06-29,JD,M1,D2,R3,RUHI,4,3,24,
2023-06-29,JD,M1,D2,R4,RUHI,2,1,34,
2023-06-29,JD,M1,D1,R2,RUHI,2,2,25,
2023-06-29,JD,M1,D1,R2,RUHI,2,3,8,
2023-06-29,JD,M1,D3,R1,RUHI,1,5,73,
2023-06-29,JD,M1,D3,R3,RUHI,4,4,29,
2023-06-29,JD,M1,D2,R4,RUHI,2,2,39,
2023-06-29,JD,M1,D2,M1,MOFI,2,2,28,
2023-06-29,JD,M1,D1,M1,MOFI,5,2,54,
2023-06-29,JD,M1,D1,R5,RUHI,3,5,26,
2023-06-29,JD,M1,D2,R3,RUHI,4,1,21,
2023-06-29,JD,M1,D1,R3,RUHI,1,1,34,
2023-06-29,JD,M1,D3,R5,RUHI,5,4,23,
2023-06-29,JD,M1,D2,R3,RUHI,4,2,13,
2023-06-29,JD,M1,D1,R3,RUHI,1,2,26,
2023-06-29,JD,M1,D1,R2,RUHI,2,1,42,
2023-06-29,JD,M1,D2,R5,RUHI,3,5,22,
2023-06-29,JD,M1,D3,R1,RUHI,1,3,62,
2023-06-29,JD,M1,D3,R1,RUHI,1,1,61,
2023-06-29,JD,M1,D2,R3,RUHI,4,5,25,
2023-06-29,JD,M1,D1,R5,RUHI,3,1,19,
2023-06-29,JD,M1,D2,R2,RUHI,5,5,36,
2023-06-29,JD,M1,D2,R5,RUHI,3,1,49,
2023-06-29,JD,M1,D1,R4,RUHI,5,4,24,
2023-06-29,JD,M1,D1,R1,RUHI,4,1,38,
2023-06-29,JD,M1,D2,R5,RUHI,3,3,33,
2023-06-29,JD,M1,D1,R3,RUHI,1,4,58,
2023-06-29,JD,M1,D3,R1,RUHI,1,4,79,
2023-06-29,JD,M1,D1,M5,MOFI,3,1,30,
2023-06-29,JD,M1,D2,R1,RUHI,1,2,43,
2023-06-29,JD,M1,D2,R2,RUHI,5,1,37,
2023-06-29,JD,M1,D1,R2,RUHI,2,5,44,
2023-06-29,JD,M1,D1,R1,RUHI,4,2,78,
2023-06-29,JD,M1,D1,R1,RUHI,4,5,24,
2023-06-29,JD,M1,D2,R1,RUHI,1,1,65,
2023-06-29,JD,M1,D2,R3,RUHI,4,4,30,
2023-06-29,JD,M1,D2,M1,MOFI,2,3,28,
2023-06-29,JD,M1,D3,R4,RUHI,3,4,32,
2023-06-29,JD,M1,D3,R4,RUHI,3,3,35,
2023-06-29,JD,M1,D3,M4,MOFI,5,3,20,
2023-06-29,JD,M1,D2,M2,MOFI,5,4,22,
2023-06-29,JD,M1,D3,R2,RUHI,2,3,26,
2023-06-28,JD,M1,D3,H1,HEHE,2,3,4,
2023-06-28,JD,M1,D3,H2,HEHE,1,2,20,
2023-06-28,JD,M1,D3,H1,HEHE,2,2,5,
2023-06-28,JD,M1,D3,H1,HEHE,2,4,2,
2023-06-28,JD,M1,D2,H5,HEHE,2,1,34,
2023-06-28,JD,M1,D2,H2,HEHE,3,4,18,
2023-06-28,JD,M1,D2,H5,HEHE,2,2,28,
2023-06-28,JD,M1,D2,H2,HEHE,3,3,12,
2023-06-28,JD,M1,D1,H1,HEHE,1,2,17,
2023-06-28,JD,M1,D2,H1,HEHE,5,2,24,
2023-06-28,JD,M1,D2,H4,HEHE,1,3,11,
2023-06-28,JD,M1,D3,H1,HEHE,4,1,16,
2023-06-28,JD,M1,D1,H1,HEHE,1,4,9,
2023-06-30,JD,M1,D1,A1,ANGE,4,2,26,
2023-06-30,JD,M1,D1,A2,ANGE,2,3,17,
2023-06-30,JD,M1,D1,O5,OEBI,4,3,97,
2023-06-30,JD,M1,D1,A5,ANGE,5,3,20,
2023-06-30,JD,M1,D3,A4,ANGE,4,3,44,
2023-06-30,JD,M1,D3,O2,OEBI,2,1,7,
2023-06-30,JD,M1,D1,A2,ANGE,2,1,36,
2023-06-30,JD,M1,D3,A4,ANGE,4,1,13,
2023-06-30,JD,M1,D1,A4,ANGE,1,3,3,
2023-06-30,JD,M1,D2,A5,ANGE,5,3,9,
2023-06-30,JD,M1,D1,A4,ANGE,1,2,4,
2023-06-30,JD,M1,D2,A5,ANGE,5,4,14,
2023-06-30,JD,M1,D3,O4,OEBI,1,2,7,
2023-06-30,JD,M1,D2,A2,ANGE,3,1,26,
2023-06-30,JD,M1,D2,A4,ANGE,1,1,40,
2023-06-30,JD,M1,D2,A4,ANGE,1,2,45,
2023-06-30,JD,M1,D3,O1,OEBI,5,2,33,
2023-06-30,JD,M1,D2,A2,ANGE,3,2,25,
2023-06-30,JD,M1,D2,O2,OEBI,5,1,55,
2023-06-30,JD,M1,D2,O1,OEBI,4,1,25,
2023-06-30,JD,M1,D2,A1,ANGE,4,3,31,
2023-06-30,JD,M1,D1,A4,ANGE,1,1,4,
2023-06-30,JD,M1,D1,O1,OEBI,1,2,43,
2023-06-30,JD,M1,D2,A1,ANGE,4,2,12,
2023-06-30,JD,M1,D2,A5,ANGE,5,2,6,
2023-06-30,JD,M1,D3,O1,OEBI,5,3,20,
2023-06-30,JD,M1,D3,A4,ANGE,4,2,38,
2023-06-30,JD,M1,D1,O3,OEBI,3,1,139,
2023-06-30,JD,M1,D2,O1,OEBI,4,2,14,
2023-06-30,JD,M1,D2,O1,OEBI,4,3,25,
2023-06-30,JD,M1,D1,A2,ANGE,2,4,10,
2023-06-30,JD,M1,D2,A5,ANGE,5,5,12,
2023-06-30,JD,M1,D3,O1,OEBI,5,1,42,
2023-06-30,JD,M1,D3,O2,OEBI,2,5,14,
2023-06-30,JD,M1,D2,O1,OEBI,4,5,13,
2023-06-30,JD,M1,D2,O3,OEBI,2,4,70,
2023-06-30,JD,M1,D3,O4,OEBI,1,1,12,
2023-06-30,JD,M1,D2,O4,OEBI,1,1,57,
2023-06-30,JD,M1,D3,A3,ANGE,5,2,16,
2023-06-30,JD,M1,D1,O5,OEBI,4,1,75,
2023-06-30,JD,M1,D1,O4,OEBI,2,5,67,
2023-06-30,JD,M1,D1,O1,OEBI,1,3,19,
2023-06-30,JD,M1,D2,O3,OEBI,2,5,81,
2023-06-30,JD,M1,D1,A1,ANGE,4,1,28,
2023-06-30,JD,M1,D2,O3,OEBI,2,1,117,
2023-06-30,JD,M1,D1,O4,OEBI,2,3,67,
2023-06-30,JD,M1,D2,O1,OEBI,4,4,17,
2023-06-30,JD,M1,D1,A2,ANGE,2,5,35,
2023-06-30,JD,M1,D3,O4,OEBI,1,3,22,
2023-06-30,JD,M1,D3,O4,OEBI,1,4,17,
2023-06-30,JD,M1,D3,O1,OEBI,5,5,49,
2023-06-30,JD,M1,D1,O5,OEBI,4,5,63,
2023-06-30,JD,M1,D1,O5,OEBI,4,4,54,
2023-06-30,JD,M1,D3,O4,OEBI,1,5,18,
2023-06-30,JD,M1,D2,O4,OEBI,1,4,40,
2023-06-30,JD,M1,D3,O1,OEBI,5,4,45,
2023-06-30,JD,M1,D1,O3,OEBI,3,3,41,
2023-06-30,JD,M1,D2,A2,ANGE,3,3,18,
2023-06-30,JD,M1,D3,O3,OEBI,4,2,26,
2023-06-30,JD,M1,D3,O3,OEBI,4,3,16,
2023-06-30,JD,M1,D3,O3,OEBI,4,1,29,
2023-06-30,JD,M1,D2,A1,ANGE,4,1,32,
2023-06-30,JD,M1,D3,O3,OEBI,4,4,27,
2023-06-30,JD,M1,D1,A1,ANGE,4,4,28,
2023-06-30,JD,M1,D2,O2,OEBI,5,3,59,
2023-06-30,JD,M1,D2,A3,ANGE,2,1,20,
2023-06-30,JD,M1,D2,O3,OEBI,2,2,48,
2023-06-30,JD,M1,D2,O4,OEBI,1,5,33,
2023-06-30,JD,M1,D1,O3,OEBI,3,4,81,
2023-06-30,JD,M1,D1,O3,OEBI,3,2,77,
2023-06-30,JD,M1,D3,O2,OEBI,2,4,16,
2023-06-30,JD,M1,D2,O2,OEBI,5,2,53,
2023-06-30,JD,M1,D1,O3,OEBI,3,5,60,
2023-06-30,JD,M1,D1,O2,OEBI,5,4,96,
2023-06-30,JD,M1,D3,O5,OEBI,3,3,9,
2023-06-30,JD,M1,D3,O5,OEBI,3,4,4,
2023-06-30,JD,M1,D3,O5,OEBI,3,5,20,
2023-06-30,JD,M1,D1,O5,OEBI,4,2,41,"Originally labelled as ""1"" for leaf_rep"
2023-06-30,JD,M1,D3,A5,ANGE,1,3,27,
2023-06-30,JD,M1,D2,O4,OEBI,1,3,25,
2023-06-30,JD,M1,D3,O2,OEBI,2,3,22,
2023-06-30,JD,M1,D1,A3,ANGE,3,1,35,
2023-06-30,JD,M1,D2,A4,ANGE,1,3,20,
2023-06-30,JD,M1,D3,O2,OEBI,2,2,15,
2023-06-30,JD,M1,D3,A1,ANGE,3,3,1,
2023-06-30,JD,M1,D2,O5,OEBI,3,1,45,
2023-06-30,JD,M1,D3,A3,ANGE,5,3,11,
2023-06-30,JD,M1,D3,A3,ANGE,5,1,17,
2023-06-30,JD,M1,D2,A4,ANGE,1,4,32,
2023-06-30,JD,M1,D2,A3,ANGE,2,5,6,
2023-06-30,JD,M1,D2,O3,OEBI,2,3,74,
2023-06-30,JD,M1,D2,A4,ANGE,1,5,5,
2023-07-04,JD,M1,-,C2,CIAR,3,5,69,
2023-07-04,JD,M1,D1,O2,CIAR,2,1,30,
2023-07-04,JD,M1,-,C3,CIAR,4,5,16,
2023-07-04,JD,M1,-,C1,CIAR,1,5,55,
2023-07-04,JD,M1,D1,O2,CIAR,2,3,8,
2023-07-04,JD,M1,D3,A5,CIAR,4,1,10,
2023-07-04,JD,M1,-,C2,CIAR,3,1,52,
2023-07-04,JD,M1,D2,M3,CIAR,1,4,40,
2023-07-04,JD,M1,D1,A1,CIAR,4,1,44,
2023-07-04,JD,M1,D1,A1,CIAR,4,2,18,
2023-07-04,JD,M1,D3,A5,CIAR,4,3,23,
2023-07-04,JD,M1,-,C2,CIAR,3,4,78,
2023-07-04,JD,M1,D1,A1,CIAR,4,5,36,
2023-07-04,JD,M1,D1,H1,CIAR,5,1,11,
2023-07-04,JD,M1,D1,H1,CIAR,5,2,24,
2023-07-04,JD,M1,D1,R1,CIAR,1,5,30,
2023-07-04,JD,M1,D3,A2,CIAR,5,5,7,
2023-07-04,JD,M1,D1,H1,CIAR,5,3,8,
2023-07-04,JD,M1,D3,H2,CIAR,3,5,13,
2023-07-04,JD,M1,-,C4,CIAR,2,5,105,
2023-07-04,JD,M1,-,C4,CIAR,2,3,55,
2023-07-04,JD,M1,D1,H1,CIAR,5,5,24,
2023-07-04,JD,M1,D3,A2,CIAR,5,3,4,
2023-07-04,JD,M1,D2,5,CIAR,4,4,16,
2023-07-04,JD,M1,-,C1,CIAR,1,3,75,
2023-07-04,JD,M1,-,C4,CIAR,2,4,85,
2023-07-04,JD,M1,D1,R1,CIAR,1,4,29,
2023-07-04,JD,M1,-,C3,CIAR,4,1,46,
2023-07-04,JD,M1,-,C1,CIAR,1,1,86,
2023-07-04,JD,M1,D3,A2,CIAR,5,4,9,
2023-07-04,JD,M1,D2,R2,CIAR,2,5,11,
2023-07-04,JD,M1,D1,R1,CIAR,1,1,44,
2023-07-04,JD,M1,D3,A5,CIAR,4,2,11,
2023-07-04,JD,M1,-,C2,CIAR,3,3,87,
2023-07-04,JD,M1,-,C2,CIAR,3,2,41,
2023-07-04,JD,M1,D2,R2,CIAR,2,4,9,
2023-07-04,JD,M2,D2,3,CIAR,3,5,14,
2023-07-04,JD,M2,D3,5,CIAR,4,1,2,
2023-07-04,JD,M4,D2,1,CIAR,5,2,8,
2023-07-04,JD,M4,D2,1,CIAR,5,4,11,
2023-07-04,JD,M4,D2,1,CIAR,5,5,5,
