"Richness_ID","Density_ID","Rep","species","ind","leaf_rep","leaf_area_cm2","biomass_mg","sla"
"M1","D1","M4","MOFI",2,1,7.11,31,0.23
"M1","D1","M4","MOFI",2,2,6.627,37,0.18
"M1","D1","M4","MOFI",2,3,3.541,9,0.39
"M1","D1","M4","MOFI",2,5,7.156,31,0.23
"M1","D1","M5","MOFI",3,1,7.208,30,0.24
"M1","D1","M5","MOFI",3,2,3.377,18,0.19
"M1","D1","M5","MOFI",3,3,8.331,36,0.23
"M1","D1","M5","MOFI",3,4,6.43,35,0.18
"M1","D1","M5","MOFI",3,5,5.949,35,0.17
"M1","D2","M1","MOFI",2,1,6.192,19,0.33
"M1","D2","M1","MOFI",2,2,6.567,28,0.23
"M1","D2","M1","MOFI",2,3,6.082,28,0.22
"M1","D2","M1","MOFI",2,4,4.624,24,0.19
"M1","D2","M1","MOFI",2,5,4.753,23,0.21
"M1","D2","M2","MOFI",5,1,3.967,24,0.17
"M1","D2","M2","MOFI",5,2,3.262,23,0.14
"M1","D2","M2","MOFI",5,3,3.733,24,0.16
"M1","D2","M2","MOFI",5,4,3.246,22,0.15
"M1","D2","M2","MOFI",5,5,2.615,10,0.26
"M1","D2","M3","MOFI",3,1,5.12,20,0.26
"M1","D2","M3","MOFI",3,2,3.092,6,0.52
"M1","D2","M3","MOFI",3,3,4.418,21,0.21
"M1","D2","M3","MOFI",3,4,5.179,22,0.24
"M1","D2","M3","MOFI",3,5,4.576,21,0.22
"M1","D2","M4","MOFI",4,1,2.831,16,0.18
"M1","D2","M4","MOFI",4,2,4.47,15,0.3
"M1","D2","M4","MOFI",4,3,3.868,16,0.24
"M1","D2","M4","MOFI",4,4,4.286,15,0.29
"M1","D2","M4","MOFI",4,5,4.456,21,0.21
"M1","D2","M5","MOFI",1,2,9.874,61,0.16
"M1","D2","M5","MOFI",1,3,6.818,47,0.15
"M1","D2","M5","MOFI",1,4,9.809,58,0.17
"M1","D3","M1","MOFI",4,1,3.239,7,0.46
"M1","D3","M1","MOFI",4,2,1.894,6,0.32
"M1","D3","M2","MOFI",1,1,2.98,24,0.12
"M1","D3","M2","MOFI",1,2,3.135,20,0.16
"M1","D3","M2","MOFI",1,3,3.958,19,0.21
"M1","D3","M2","MOFI",1,4,3.773,18,0.21
"M1","D3","M2","MOFI",1,5,3.358,20,0.17
"M1","D3","M3","MOFI",2,1,3.838,18,0.21
"M1","D3","M3","MOFI",2,2,2.693,10,0.27
"M1","D3","M3","MOFI",2,5,3.357,15,0.22
"M1","D3","M4","MOFI",5,1,3.093,21,0.15
"M1","D3","M4","MOFI",5,2,3.315,15,0.22
"M1","D3","M4","MOFI",5,3,3.188,20,0.16
"M1","D3","M4","MOFI",5,4,3.683,18,0.2
"M1","D3","M4","MOFI",5,5,2.423,16,0.15
"M1","D3","M5","MOFI",3,1,4.208,26,0.16
"M1","D3","M5","MOFI",3,2,3.842,15,0.26
"M1","D3","M5","MOFI",3,3,3.213,25,0.13
"M1","D3","M5","MOFI",3,4,3.234,13,0.25
"M1","D3","M5","MOFI",3,5,3.317,23,0.14
"M1","D1","H1","HEHE",1,1,4.859,19,0.26
"M1","D1","H1","HEHE",1,2,3.921,17,0.23
"M1","D1","H1","HEHE",1,4,4.394,9,0.49
"M1","D1","H2","HEHE",4,1,0.514,2,0.26
"M1","D1","H2","HEHE",4,2,0.71,1,0.71
"M1","D1","H3","HEHE",3,1,0.54,2,0.27
"M1","D1","H3","HEHE",3,2,0.439,1,0.44
"M1","D1","H5","HEHE",2,1,1.017,1,1.02
"M1","D2","H1","HEHE",5,1,4.75,25,0.19
"M1","D2","H1","HEHE",5,2,4.491,24,0.19
"M1","D2","H2","HEHE",3,2,2.52,10,0.25
"M1","D2","H2","HEHE",3,3,2.562,12,0.21
"M1","D2","H2","HEHE",3,4,5.316,18,0.3
"M1","D2","H3","HEHE",4,2,4.06,10,0.41
"M1","D2","H4","HEHE",1,1,7.569,30,0.25
"M1","D2","H4","HEHE",1,2,3.696,16,0.23
"M1","D2","H4","HEHE",1,3,3.033,11,0.28
"M1","D2","H5","HEHE",2,1,7.871,34,0.23
"M1","D2","H5","HEHE",2,2,5.973,28,0.21
"M1","D3","H1","HEHE",2,1,1.784,5,0.36
"M1","D3","H1","HEHE",2,2,1.56,5,0.31
"M1","D3","H1","HEHE",2,3,1.324,4,0.33
"M1","D3","H1","HEHE",2,4,1.153,2,0.58
"M1","D3","H2","HEHE",1,1,4.609,17,0.27
"M1","D3","H2","HEHE",1,2,6.01,20,0.3
"M1","D3","H2","HEHE",1,3,6.131,23,0.27
"M1","D3","H5","HEHE",3,2,5.836,27,0.22
"M1","D3","H5","HEHE",3,3,12.585,50,0.25
"M1","D1","A1","CIAR",4,1,7.412,44,0.17
"M1","D1","A1","CIAR",4,2,3.082,18,0.17
"M1","D1","A1","CIAR",4,5,5.851,36,0.16
"M1","D1","A1","CIAR",4,1,7.09,44,0.16
"M1","D1","A1","CIAR",4,2,2.955,18,0.16
"M1","D1","A1","CIAR",4,5,5.668,36,0.16
"M1","D1","H1","CIAR",5,1,1.324,11,0.12
"M1","D1","H1","CIAR",5,2,3.155,24,0.13
"M1","D1","H1","CIAR",5,3,1.018,8,0.13
"M1","D1","H1","CIAR",5,5,3.127,24,0.13
"M1","D1","O2","CIAR",2,1,4.167,30,0.14
"M1","D1","O2","CIAR",2,3,1.239,8,0.15
"M1","D1","R1","CIAR",1,1,5.872,44,0.13
"M1","D1","R1","CIAR",1,4,3.028,29,0.1
"M1","D1","R1","CIAR",1,5,2.916,30,0.1
"M1","D2","M3","CIAR",1,4,5.969,40,0.15
"M1","D2","R2","CIAR",2,4,1.628,9,0.18
"M1","D2","R2","CIAR",2,5,1.696,11,0.15
"M2","D2","3","CIAR",3,5,1.908,14,0.14
"M4","D2","1","CIAR",5,2,1.26,8,0.16
"M4","D2","1","CIAR",5,4,1.639,11,0.15
"M4","D2","1","CIAR",5,5,0.751,5,0.15
"M1","D3","A2","CIAR",5,3,0.677,4,0.17
"M1","D3","A2","CIAR",5,4,1.226,9,0.14
"M1","D3","A2","CIAR",5,5,1.041,7,0.15
"M1","D3","A5","CIAR",4,1,1.323,10,0.13
"M1","D3","A5","CIAR",4,2,1.724,11,0.16
"M1","D3","A5","CIAR",4,3,3.193,23,0.14
"M1","D3","H2","CIAR",3,5,1.503,13,0.12
